Tout,Ta_chair,RH_chair,prefer
12.22222222,22.991999999999997,50.667,0.75
12.22222222,22.680999999999997,51.199,1.0
12.22222222,22.896,49.409,0.625
12.77777778,22.991999999999997,48.133,1.25
10.0,23.04,45.505,1.5
11.11111111,23.424,44.56399999999999,2.0
12.22222222,21.987,45.282,0.75
10.0,22.201999999999998,42.408,1.0
12.77777778,23.328000000000003,41.532,1.625
15.0,24.074,44.705,1.75
15.0,24.219,42.998000000000005,1.375
13.88888889,23.905,42.397,1.5
10.0,22.393,39.383,2.0
10.0,22.345,44.8,0.75
12.77777778,23.785,43.912,2.0
12.22222222,23.881,50.72,2.0
12.77777778,23.593000000000004,48.338,2.0
13.88888889,24.436,46.031000000000006,1.0
16.11111111,23.616999999999997,48.082,2.0
16.11111111,23.665,47.731,1.625
18.88888889,24.363000000000003,46.285,2.0
13.88888889,23.665,42.57,2.0
13.88888889,22.991999999999997,44.613,2.0
13.88888889,23.689,48.026,2.0
12.77777778,23.304000000000002,49.043,2.0
16.11111111,25.525,45.63399999999999,1.75
15.0,23.689,49.606,2.0
15.0,24.122,48.888999999999996,2.0
13.88888889,23.497,48.001999999999995,2.0
13.88888889,23.497,47.613,1.0
12.77777778,23.304000000000002,47.751999999999995,2.0
12.77777778,23.641,43.631,1.5
15.0,24.026,41.942,2.0
12.77777778,23.232,42.522,2.0
12.77777778,23.375999999999998,42.638000000000005,2.0
16.11111111,23.497,45.23,2.0
16.11111111,22.226,44.983000000000004,1.0
17.77777778,21.939,43.931000000000004,2.0
15.0,23.833000000000002,48.141000000000005,1.0
18.88888889,24.219,44.854,1.0
13.88888889,23.761,48.326,2.0
15.0,22.896,48.702,1.0
15.0,21.485,48.17,0.625
15.0,24.219,44.623000000000005,1.0
16.11111111,24.122,46.942,1.0
12.77777778,23.4,48.184,0.75
17.22222222,23.737,47.318000000000005,2.0
16.11111111,23.497,50.063,2.0
17.77777778,24.267,48.001000000000005,2.0
13.88888889,23.232,50.22,2.0
13.88888889,22.944000000000003,51.898999999999994,1.0
17.22222222,23.641,49.44,1.875
13.88888889,23.016,49.231,1.875
13.88888889,23.16,47.604,2.0
17.22222222,23.857,46.224,2.0
17.22222222,23.809,47.457,2.0
15.0,23.521,49.103,1.0
17.77777778,24.002,47.643,1.875
17.77777778,23.978,47.413000000000004,1.875
